Date,Bitcoin,Gold,S&P 500,Nasdaq
2021/9/13 0:00,-0.024174296,0.003394233,0.0022739,-0.000655844
2021/9/14 0:00,0.046272007,0.005982072,-0.005763214,-0.004499861
2021/9/15 0:00,0.022754601,-0.006521217,0.008438294,0.008196961
2021/9/16 0:00,-0.008190739,-0.022143365,-0.001552345,0.001343924
2021/9/17 0:00,-0.01085408,0.00039992,-0.00915263,-0.009128013
2021/9/20 0:00,-0.098107938,0.00548493,-0.017123078,-0.022184576
2021/9/21 0:00,-0.051488268,0.005882663,-0.000812689,0.00220636
2021/9/22 0:00,0.068399602,-0.003606496,0.009474585,0.010150743
2021/9/23 0:00,0.029856309,-0.01440323,0.01206168,0.010377078
2021/9/24 0:00,-0.046862195,0.004191205,0.001459943,-0.000301664
2021/9/27 0:00,-0.022771583,0,-0.002780244,-0.005178992
2021/9/28 0:00,-0.028852333,-0.009242581,-0.020574318,-0.028683409
2021/9/29 0:00,0.012828925,-0.004409708,0.001567954,-0.002356525
2021/9/30 0:00,0.05218276,0.017545179,-0.011981203,-0.004410097
2021/10/1 0:00,0.094208419,0.002097798,0.011425952,0.00814197
2021/10/4 0:00,0.018763729,0.005186527,-0.013070952,-0.021596688
2021/10/5 0:00,0.047747611,-0.005414633,0.010469517,0.012433335
2021/10/6 0:00,0.072014101,0.001399021,0.004094399,0.004705613
2021/10/7 0:00,-0.028498794,-0.004108428,0.008264039,0.010434293
2021/10/8 0:00,0.003003761,0.00079968,-0.001915557,-0.00509549
2021/10/11 0:00,0.048348963,-0.001601281,-0.006889442,-0.006422693
2021/10/12 0:00,-0.025435764,0.003493889,-0.002419706,-0.001400953
2021/10/13 0:00,0.023978815,0.018429135,0.003017956,0.007281617
2021/10/14 0:00,-0.001387246,0.001598721,0.016919162,0.017131866
2021/10/15 0:00,0.071887458,-0.015926151,0.007432521,0.004973647
2021/10/18 0:00,0.007646292,-0.001501126,0.003369088,0.008320453
2021/10/19 0:00,0.035413444,0.002397125,0.007366143,0.007116254
2021/10/20 0:00,0.026577835,0.007273484,0.003657334,-0.000489915
2021/10/21 0:00,-0.059027668,0.000499875,0.002991393,0.006198347
2021/10/22 0:00,-0.024702251,0.00548493,-0.001073129,-0.008282263
2021/10/25 0:00,0.034027273,0.008364916,0.004736959,0.009005581
2021/10/26 0:00,-0.043377186,-0.008233805,0.001818141,0.000590892
2021/10/27 0:00,-0.031663844,0.002297359,-0.00506437,8.52E-06
2021/10/28 0:00,0.035934492,0.001099395,0.009781288,0.013836784
2021/10/29 0:00,0.026144376,-0.008838949,0.001947437,0.003248804
2021/11/1 0:00,-0.00514295,0.005683816,0.001798459,0.006273212
2021/11/2 0:00,0.035775877,-0.003205131,0.003673607,0.003435996
2021/11/3 0:00,-0.004062806,-0.009949331,0.006440495,0.010297255
2021/11/4 0:00,-0.024399034,0.01242252,0.004173222,0.008108506
2021/11/5 0:00,-0.005328129,0.013902905,0.00372585,0.001960415
2021/11/8 0:00,0.064805561,0.004091618,0.000887394,0.000674127
2021/11/9 0:00,-0.008845099,0.003992021,-0.003504911,-0.006013424
2021/11/10 0:00,-0.029958165,0.009851316,-0.008259842,-0.01674659
2021/11/11 0:00,-0.000696748,0.006478966,0.000550788,0.005207682
